"X","Project.ID","Deployment.Location.ID","Latitude","Longitude","Camera.Deployment.Begin.Date","Camera.Deployment.End.Date","Time.Zone","Bait.Type","Feature.Type","Quiet.Period.Setting","Camera.Failure.Details","Camera.Make","Height","Angle"
36,"Bighorn","BH30",52.38066094,-116.0869596,"Oct-03-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
37,"Bighorn","BH31",52.39228538,-116.0673213,"Oct-03-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
38,"Bighorn","BH32",52.39658469,-115.9506369,"Feb-24-2020","10-Sep-20","GMT-6","Scent","Game trail",0,"Camera Hardware Failure","Reconyx PC900","Varied","Pointed down"
39,"Bighorn","BH33",52.39688668,-115.8863574,"Feb-24-2020","10-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
40,"Bighorn","BH34",52.39442669,-115.7466231,"Feb-24-2020","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
41,"Bighorn","BH35",52.40038257,-115.6585103,"Oct-03-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
42,"Bighorn","BH36",52.39503415,-115.6249716,"Oct-03-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
43,"Bighorn","BH37",52.32303607,-116.5281205,"Oct-05-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
44,"Bighorn","BH38",52.35928766,-116.4268664,"Oct-05-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
45,"Bighorn","BH39",52.34053986,-116.3565205,"Oct-01-2019","8-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
46,"Bighorn","BH40",52.33906422,-116.3225331,"Oct-02-2019","8-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
47,"Bighorn","BH41",52.32920048,-116.1676012,"Oct-05-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
48,"Bighorn","BH42",52.34968765,-116.0788037,"Oct-03-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
49,"Bighorn","BH43",52.32814123,-116.0509588,"Oct-03-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
50,"Bighorn","BH44",52.33512114,-115.9009135,"Feb-24-2020","11-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
51,"Bighorn","BH45",52.3529483,-115.8646008,"Feb-24-2020","11-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
52,"Bighorn","BH46",52.32352981,-115.7454729,"Mar-10-2020","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
