"Site","radius","dense_conif","mod_conif","open_conif","shrubs","herb","mixed","barren","broadleaf","treed_wet","open_wet","water","regen","snow_ice","cultivation","cutblocks","industrials","mines","motorizedtrail","nonmotorizedtrail","pipelines","railways","residentials","roads","seismiclines","transmission","verges","wellsabandoned","wellsactive","ER","HR","NAT","NP","PLUZ","PP","PRA","WA","WP","WPP","PA_total","PA_noPRA","UP","elevation","d_to_pa_in","d_to_pa_out","d_to_road","d_to_res","pa_type"
"BH01",4250,7.99376643556079,65.9003202408376,10.4306227317624,10.2920129839521,4.61102139429963,0.351608573066024,0.419801650880415,0,0,0,0,0,0,0,0,0,0,0,0.054509723,0,0,0,0,0.359512397,0,0,0,0,0,0,0,0,99.9999999719315,0,0,0,0,0,0,0,2.80684844256029e-08,1840.339966,0,18549.97418,12589.15187,23973.53278,"PLUZ"
"BH01",4500,8.26167674965569,64.0364038164164,10.5340104770881,11.0252187638748,5.07283395843635,0.382002861035541,0.58678335509116,0,0,0,0,0,0,0,0,0,0,0,0.051692964,0,0,0,0,0.353447258,0,0,0,0,0,0,0,0,99.9999999712178,0,0,0,0,0,0,0,2.8782224603674e-08,1840.339966,0,18549.97418,12589.15187,23973.53278,"PLUZ"
"BH01",4750,8.29080186667029,62.6687526720327,10.5144720651054,11.5559955847583,5.4415877771403,0.390019297066846,0.959910049992009,0.001269748220893,0,0,0,0,0,0,0,0,0,0,0.049177649,0,0,0,0,0.344475814,0,0,0,0,0,0,0,0,99.9999999948581,0,0,0,0,0,0,0,5.14191356160154e-09,1840.339966,0,18549.97418,12589.15187,23973.53278,"PLUZ"
"BH01",500,0,21.6243901583711,32.5478074282761,18.3387313381131,27.489070619493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000322244,0,0,0,0,0,0,0,0,1840.339966,0,18549.97418,12589.15187,23973.53278,"PLUZ"
"BH01",5000,7.89578266172249,61.8994420379563,10.4442106148169,11.7777992808699,5.71462273609499,0.417696263042319,1.55375783922384,0.002291892480242,0,0,0,0,0,0,0,0,0,0,0.046601495,0,0,0,0,0.329902688,0,0,0,0,0,0,0,0,99.9999999778776,0,0,0,0,0,0,0,2.21223785956681e-08,1840.339966,0,18549.97418,12589.15187,23973.53278,"PLUZ"
"BH01",750,0,25.2494932978203,29.8568733105289,24.8318215420723,20.0618117699753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9999997874224,0,0,0,0,0,0,0,2.12577617730858e-07,1840.339966,0,18549.97418,12589.15187,23973.53278,"PLUZ"
"BH02",1000,0.171910102156047,51.7784893419153,34.056333822131,3.6948473421536,7.85595844204777,1.26774146890399,1.17471903139965,0,0,0,0,0,0,0,0,0,0,0,0.216964227,0,0,0,0,0.713324331,0,0,0,0,0,0,0,0,100.000000155563,0,0,0,0,0,0,0,0,1716.579956,0,26026.90009,6388.16295,17072.25566,"PLUZ"
"BH02",1250,0.194266701080506,54.1970226131861,34.0072379299536,3.55550529055143,6.37787094073378,0.916295755892301,0.751800490154783,0,0,0,0,0,0,0,0,0,0,0,0.173637538,0,0,0,0,0.604680183,0,0,0,0,0,0,0,0,100.000000520021,0,0,0,0,0,0,0,0,1716.579956,0,26026.90009,6388.16295,17072.25566,"PLUZ"
"BH02",1500,0.38308835376605,56.7053649938202,32.3015030034031,3.50041580232215,5.74922248825052,0.838330693139357,0.5220743600803,0,0,0,0,0,0,0,0,0,0,0,0.143778074,0,0,0,0,0.551524436,0,0,0,0,0,0,0,0,100.000000189405,0,0,0,0,0,0,0,0,1716.579956,0,26026.90009,6388.16295,17072.25566,"PLUZ"
"BH02",1750,0.852045716561837,58.918203540098,31.1518571293563,3.25035776019955,4.7797617427384,0.664213954811601,0.383560171088389,0,0,0,0,0,0,0,0,0,0,0,0.122380371,0,0,0,0,0.505180048,0,0,0,0,0,0,0,0,100.000000103305,0,0,0,0,0,0,0,0,1716.579956,0,26026.90009,6388.16295,17072.25566,"PLUZ"
"BH02",2000,2.52900093322663,62.0732095465447,27.9026840261584,2.89681371758465,3.72447304478599,0.580158301207048,0.293660374685049,0,0,0,0,0,0,0,0,0,0,0,0.108502573,0,0,0,0,0.457469982,0,0,0,0,0,0,0,0,99.9999997048838,0,0,0,0,0,0,0,2.95116180382138e-07,1716.579956,0,26026.90009,6388.16295,17072.25566,"PLUZ"
"BH02",2250,4.66301777515479,64.1562457523058,24.5787495572897,2.85754250042462,2.97021279819515,0.54220523144141,0.232026249611166,0,0,0,0,0,0,0,0,0,0,0,0.096659771,0,0,0,0,0.41255198,0,0,0,0,0,0,0,0,100.000000067567,0,0,0,0,0,0,0,0,1716.579956,0,26026.90009,6388.16295,17072.25566,"PLUZ"
